ID	Demand	x	y	Fcand	Fcost	Fcap
1	64	510634.5313	3840130.75	0	0	0	
2	69	510824.625	3840127.5	0	0	0	
3	67	511019.3125	3840129	0	0	0	
4	67	511210.5938	3840129	0	0	0	
5	67	510638.0625	3840359	0	0	0	
6	67	510828.5	3840359	0	0	0	
7	67	511019.3125	3840359	0	0	0	
8	68	511210.5	3840359	0	0	0	
9	67	510638.0938	3840590.25	0	0	0	
10	67	510828.5	3840590.25	0	0	0	
11	67	511019.3125	3840590.25	0	0	0	
12	68	511210.5	3840590.25	0	0	0	
13	68	510638.0938	3840822.75	0	0	0	
14	68	510828.4688	3840822.75	0	100000000	50000	
15	68	511019.3125	3840822.75	0	0	0	
16	68	511210.5	3840822.5	0	0	0	
17	55	509874.875	3840129.25	0	0	0	
18	55	510065.1563	3840129.25	0	0	0	
19	55	510255.9688	3840129.25	0	0	0	
20	56	510447.375	3840129.25	0	0	0	
21	56	509874.7813	3840359	0	0	0	
22	56	510065.1563	3840359	0	0	0	
23	56	510256	3840359	0	0	0	
24	56	510447.2188	3840359	0	0	0	
25	56	509874.7813	3840590.25	0	0	0	
26	56	510065.1563	3840590.25	0	0	0	
27	56	510256	3840590.25	0	0	0	
28	56	510447.25	3840590.25	0	0	0	
29	56	509874.75	3840822.75	0	0	0	
30	57	510065.125	3840822.5	0	0	0	
31	57	510256	3840822.5	0	0	0	
32	57	510447.3125	3840822.75	0	0	0	
33	106	509111.4375	3840129	0	0	0	
34	107	509301.8125	3840129	0	0	0	
35	106	509492.625	3840129	0	0	0	
36	107	509684.0313	3840129	0	100000000	50000	
37	107	509111.375	3840359	0	0	0	
38	108	509301.8125	3840359	0	0	0	
39	108	509492.6563	3840359	0	0	0	
40	108	509683.9375	3840359	0	0	0	
41	107	509111.3438	3840590.25	0	0	0	
42	108	509301.8125	3840590.25	0	0	0	
43	108	509492.6563	3840590.25	0	0	0	
44	108	509683.9375	3840590.25	0	0	0	
45	108	509111.3438	3840822.5	0	0	0	
46	109	509301.8125	3840822.5	0	0	0	
47	109	509492.6563	3840822.5	0	0	0	
48	109	509683.9375	3840822.75	0	0	0	
49	116	508348	3840128.75	0	0	0	
50	116	508538.4688	3840128.75	0	0	0	
51	116	508729.3125	3840129	0	0	0	
52	117	508920.5938	3840129	0	0	0	
53	117	508347.9375	3840359	0	0	0	
54	117	508538.4688	3840359	0	0	0	
55	117	508729.3125	3840359	0	0	0	
56	118	508920.5313	3840359	0	0	0	
57	117	508347.9375	3840590.25	0	0	0	
58	117	508538.4688	3840590.25	0	0	0	
59	117	508729.3125	3840590.25	0	0	0	
60	118	508920.5	3840590.25	0	0	0	
61	118	508347.9063	3840822.25	0	0	0	
62	118	508538.4688	3840822.25	0	0	0	
63	118	508729.3125	3840822.5	0	0	0	
64	119	508920.5	3840822.5	0	100000000	50000	
65	151	507584.6563	3840128.75	0	0	0	
66	151	507775.125	3840128.75	0	0	0	
67	151	507965.9688	3840128.75	0	100000000	50000	
68	152	508157.1875	3840128.75	0	0	0	
69	152	507584.5938	3840359	0	0	0	
70	152	507775.125	3840359	0	0	0	
71	152	507965.9688	3840359	0	0	0	
72	153	508157.0938	3840359	0	0	0	
73	152	507584.5625	3840590.25	0	0	0	
74	152	507775.125	3840590.25	0	0	0	
75	152	507965.9688	3840590.25	0	0	0	
76	153	508157.0938	3840590.25	0	0	0	
77	153	507584.5625	3840822.25	0	0	0	
78	153	507775.125	3840822.25	0	0	0	
79	153	507965.9688	3840822.25	0	0	0	
80	154	508157.0625	3840822.25	0	0	0	
81	149	506821.2188	3840128.5	0	0	0	
82	149	507011.7813	3840128.5	0	0	0	
83	149	507202.625	3840128.5	0	0	0	
84	150	507393.8125	3840128.5	0	0	0	
85	150	506821.1563	3840359	0	0	0	
86	150	507011.7813	3840359	0	0	0	
87	150	507202.625	3840359	0	0	0	
88	150	507393.75	3840359	0	0	0	
89	150	506821.1563	3840590.25	0	0	0	
90	150	507011.7813	3840590.25	0	100000000	50000	
91	150	507202.625	3840590.25	0	0	0	
92	150	507393.75	3840590.25	0	0	0	
93	151	506821.125	3840822	0	0	0	
94	151	507011.8125	3840822	0	0	0	
95	151	507202.625	3840822	0	0	0	
96	151	507393.7188	3840822	0	0	0	
97	195	506057.875	3840128.25	0	0	0	
98	192	506246.75	3840129	0	0	0	
99	199	506437.5313	3840127.5	0	0	0	
100	196	506630.375	3840128.5	0	0	0	
101	196	506057.8125	3840359	0	0	0	
102	196	506248.4688	3840359	0	100000000	50000	
103	196	506439.2813	3840359	0	0	0	
104	196	506630.3438	3840359	0	0	0	
105	196	506057.8125	3840590.25	0	0	0	
106	196	506248.4688	3840590.25	0	0	0	
107	196	506439.2813	3840590.25	0	0	0	
108	196	506630.3125	3840590.25	0	0	0	
109	196	506057.7813	3840821.75	0	0	0	
110	199	506249.4688	3840822.25	0	0	0	
111	195	506440.3438	3840821.5	0	0	0	
112	197	506630.3125	3840822	0	0	0	
113	332	505294.4375	3840128.25	0	0	0	
114	333	505485.125	3840128.25	0	0	0	
115	333	505675.9375	3840128.25	0	0	0	
116	334	505867.0313	3840128.25	0	0	0	
117	334	505294.4063	3840359	0	0	0	
118	334	505485.125	3840359	0	0	0	
119	334	505675.9375	3840359	0	0	0	
120	335	505866.9688	3840359	0	0	0	
121	334	505294.375	3840590.25	0	0	0	
122	334	505485.125	3840590.25	0	0	0	
123	334	505675.9375	3840590.25	0	0	0	
124	335	505866.9688	3840590.25	0	0	0	
125	335	505294.3438	3840821.75	0	0	0	
126	335	505485.125	3840821.75	0	0	0	
127	335	505675.9688	3840821.75	0	0	0	
128	336	505866.9375	3840821.75	0	0	0	
129	445	504531.0625	3840128.25	0	0	0	
130	445	504721.7813	3840128.25	0	0	0	
131	445	504912.5938	3840128.25	0	0	0	
132	446	505103.5938	3840128.25	0	0	0	
133	446	504531.0313	3840359	0	0	0	
134	446	504721.7813	3840359	0	0	0	
135	446	504912.625	3840359	0	0	0	
136	447	505103.5625	3840359	0	0	0	
137	446	504531.0313	3840590.25	0	0	0	
138	446	504721.7813	3840590.25	0	0	0	
139	446	504912.625	3840590.25	0	100000000	70000	
140	447	505103.5313	3840590.25	0	0	0	
141	447	504531	3840821.75	0	0	0	
142	447	504721.7813	3840821.75	0	0	0	
143	448	504912.625	3840821.75	0	0	0	
144	448	505103.5313	3840821.75	0	0	0	
145	374	503767.6563	3840128	0	0	0	
146	374	503958.4375	3840128	0	0	0	
147	374	504149.2813	3840128	0	100000000	50000	
148	374	504340.25	3840128	0	0	0	
149	375	503767.625	3840359	0	0	0	
150	375	503958.4375	3840359	0	0	0	
151	375	504149.2813	3840359	0	0	0	
152	375	504340.2188	3840359	0	0	0	
153	375	503767.5938	3840590.25	0	0	0	
154	375	503958.4375	3840590.25	0	0	0	
155	375	504149.2813	3840590.25	0	0	0	
156	375	504340.1875	3840590.25	0	0	0	
157	375	503767.5938	3840821.5	0	0	0	
158	375	503958.4375	3840821.5	0	0	0	
159	375	504149.2813	3840821.5	0	0	0	
160	376	504340.1875	3840821.75	0	0	0	
161	293	503004.2813	3840128	0	0	0	
162	293	503195.0938	3840128	0	0	0	
163	293	503385.9375	3840128	0	0	0	
164	293	503576.8125	3840128	0	0	0	
165	294	503004.2813	3840359	0	0	0	
166	294	503195.0938	3840359	0	0	0	
167	294	503385.9375	3840359	0	0	0	
168	294	503576.7813	3840359	0	0	0	
169	294	503004.25	3840590.25	0	0	0	
170	294	503195.0938	3840590.25	0	0	0	
171	294	503385.9375	3840590.25	0	100000000	50000	
172	294	503576.7813	3840590.25	0	0	0	
173	294	503004.25	3840821.5	0	0	0	
174	294	503195.0938	3840821.5	0	0	0	
175	294	503385.9375	3840821.5	0	0	0	
176	294	503576.75	3840821.5	0	0	0	
177	235	502240.8438	3840128	0	0	0	
178	235	502431.75	3840128	0	100000000	50000	
179	235	502622.5938	3840128	0	0	0	
180	235	502813.4688	3840128	0	0	0	
181	235	502240.8438	3840359	0	0	0	
182	235	502431.75	3840359	0	0	0	
183	235	502622.5938	3840359	0	0	0	
184	235	502813.4375	3840359	0	0	0	
185	235	502240.8438	3840590.25	0	0	0	
186	235	502431.75	3840590.25	0	0	0	
187	235	502622.5938	3840590.25	0	0	0	
188	235	502813.4375	3840590.25	0	0	0	
189	235	502240.8125	3840821.5	0	0	0	
190	235	502431.75	3840821.5	0	0	0	
191	235	502622.5938	3840821.5	0	0	0	
192	235	502813.4063	3840821.5	0	0	0	
193	262	501477.5	3840127.75	0	0	0	
194	262	501668.4063	3840128	0	0	0	
195	262	501859.25	3840128	0	0	0	
196	261	502050.0313	3840128	0	0	0	
197	262	501477.5	3840359	0	0	0	
198	262	501668.4063	3840359	0	0	0	
199	262	501859.25	3840359	0	0	0	
200	261	502050.0313	3840359	0	0	0	
201	262	501477.5	3840590.25	0	100000000	50000	
202	262	501668.4063	3840590.25	0	0	0	
203	262	501859.25	3840590.25	0	0	0	
204	261	502050	3840590.25	0	0	0	
205	262	501477.4688	3840821.5	0	0	0	
206	262	501668.4063	3840821.5	0	0	0	
207	262	501859.25	3840821.5	0	0	0	
208	261	502049.9688	3840821.5	0	0	0	
209	186	500714.0625	3840127.75	0	0	0	
210	186	500905.0938	3840127.75	0	0	0	
211	186	501095.9063	3840127.75	0	0	0	
212	186	501286.6563	3840127.75	0	0	0	
213	186	500714.0938	3840359	0	0	0	
214	186	500905.0938	3840359	0	0	0	
215	186	501095.9063	3840359	0	0	0	
216	186	501286.6563	3840359	0	0	0	
217	186	500714.0625	3840590.25	0	0	0	
218	186	500905.0938	3840590.25	0	0	0	
219	186	501095.9063	3840590.25	0	0	0	
220	186	501286.6563	3840590.25	0	0	0	
221	191	500716.375	3840822.25	0	100000000	50000	
222	182	500907.375	3840820.5	0	0	0	
223	186	501095.9063	3840821.5	0	0	0	
224	186	501286.625	3840821.5	0	0	0	
225	30	499950.7813	3840127.75	0	0	0	
226	30	500141.75	3840127.75	0	0	0	
